hunt_code,reconciled_bucket,resolution_status,include_in_core_comparable_2026,resolution_rationale,universe_status,likely_cause,prefix,present_in_bible_years,present_in_2025_bible,present_in_2026_bible,present_in_live_2026_hunttable,present_in_database,hanumber_fetch_status,live_presence_status,live_comparison_status,live_shape_status,hunt_name,species,sex_type,weapon,hunt_type,live_res,live_nr,live_total,database_compared_res,database_compared_nr,database_compared_total,species_truth_direct_source_support,species_truth_direct_source_match_support,species_truth_conservation_source_support,species_truth_conservation_source_match_support,species_truth_source_families,species_truth_comparison_statuses,species_truth_total_values,permit_reconciliation_confidence,permit_reconciliation_winner,permit_reconciliation_recommended_total,permit_reconciliation_action,source_url
BR1007,CURRENT_PLANNER_EXTRA_REVIEW,REVIEW,maybe,Fresh DWR current planner row not in 2025 BIBLE; unresolved source-family status.,LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,BR,,no,no,yes,yes,OK,LIVE_AND_DATABASE,BOTH_BLANK,LIVE_DWR_NO_QUOTA_PUBLISHED,Black Bear Pursuit - Resident,Black Bear,Either Sex,Pursuit Only,Pursuit,,,,,,,no,no,no,no,,,,NO_PERMIT_VALUE,NONE,,NO_CURRENT_PERMIT_VALUE_FOUND,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex
BR1018,CURRENT_PLANNER_EXTRA_REVIEW,REVIEW,maybe,Fresh DWR current planner row not in 2025 BIBLE; unresolved source-family status.,LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,BR,,no,no,yes,yes,OK,LIVE_AND_DATABASE,BOTH_BLANK,LIVE_DWR_NO_QUOTA_PUBLISHED,Black Bear Pursuit - Nonresident,Black Bear,Either Sex,Pursuit Only,Pursuit,,,,,,,no,no,no,no,,,,NO_PERMIT_VALUE,NONE,,NO_CURRENT_PERMIT_VALUE_FOUND,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex
BR7008,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,maybe,Present in 2025 BIBLE but absent from fresh 2026 DWR table; needs drop/rename/crosswalk review.,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,BR,2020|2021|2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,,,,49,5,54,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,54,PROMOTE_CANDIDATE_AFTER_REVIEW,
BR7019,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,no,Database row is not exposed by the fresh DWR live table; do not count as active core without source review.,DATABASE_NOT_IN_LIVE_TABLE,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,BR,2022|2023|2024,no,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,,,,,,,no,no,no,no,,,,NO_PERMIT_VALUE,NONE,,NO_CURRENT_PERMIT_VALUE_FOUND,
BR7021,CURRENT_PLANNER_EXTRA_WITH_MULTI_SOURCE_PERMIT_SUPPORT,REVIEW,maybe,"Not in 2025 BIBLE, but current permit evidence is multi-source/total-confirmed.",LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,BR,,no,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,2,0,2,2,0,2,no,no,no,no,,,,HIGH_CONFIRMED_2PLUS,HANUMBER,2,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex
BR7022,CURRENT_PLANNER_EXTRA_WITH_MULTI_SOURCE_PERMIT_SUPPORT,REVIEW,maybe,"Not in 2025 BIBLE, but current permit evidence is multi-source/total-confirmed.",LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,BR,,no,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,40,3,43,40,3,43,no,no,no,no,,,,HIGH_CONFIRMED_2PLUS,HANUMBER,43,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex
BR7108,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,maybe,Present in 2025 BIBLE but absent from fresh 2026 DWR table; needs drop/rename/crosswalk review.,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,BR,2020|2021|2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,,,,25,2,27,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,27,PROMOTE_CANDIDATE_AFTER_REVIEW,
BR7126,CURRENT_PLANNER_EXTRA_WITH_MULTI_SOURCE_PERMIT_SUPPORT,REVIEW,maybe,"Not in 2025 BIBLE, but current permit evidence is multi-source/total-confirmed.",LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,BR,,no,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,6,0,6,6,0,6,no,no,no,no,,,,HIGH_CONFIRMED_2PLUS,HANUMBER,6,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex
BR7127,CURRENT_PLANNER_EXTRA_WITH_MULTI_SOURCE_PERMIT_SUPPORT,REVIEW,maybe,"Not in 2025 BIBLE, but current permit evidence is multi-source/total-confirmed.",LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,BR,,no,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,25,2,27,25,2,27,no,no,no,no,,,,HIGH_CONFIRMED_2PLUS,HANUMBER,27,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex
BR7208,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,maybe,Present in 2025 BIBLE but absent from fresh 2026 DWR table; needs drop/rename/crosswalk review.,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,BR,2020|2021|2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,,,,6,,6,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,6,PROMOTE_CANDIDATE_AFTER_REVIEW,
BR7238,CURRENT_PLANNER_EXTRA_WITH_MULTI_SOURCE_PERMIT_SUPPORT,REVIEW,maybe,"Not in 2025 BIBLE, but current permit evidence is multi-source/total-confirmed.",LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,BR,,no,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Dolores Triangle,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,2,0,2,2,0,2,no,no,no,no,,,,HIGH_CONFIRMED_2PLUS,HANUMBER,2,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex
BR7239,CURRENT_PLANNER_EXTRA_WITH_MULTI_SOURCE_PERMIT_SUPPORT,REVIEW,maybe,"Not in 2025 BIBLE, but current permit evidence is multi-source/total-confirmed.",LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,BR,,no,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,La Sal Mtns,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,6,0,6,6,0,6,no,no,no,no,,,,HIGH_CONFIRMED_2PLUS,HANUMBER,6,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex
BR7326,CURRENT_PLANNER_EXTRA_WITH_MULTI_SOURCE_PERMIT_SUPPORT,REVIEW,maybe,"Not in 2025 BIBLE, but current permit evidence is multi-source/total-confirmed.",LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,BR,,no,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,La Sal Mtns,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,13,1,14,13,1,14,no,no,no,no,,,,HIGH_CONFIRMED_2PLUS,HANUMBER,14,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex
DA1044,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,no,Database row is not exposed by the fresh DWR live table; do not count as active core without source review.,DATABASE_NOT_IN_LIVE_TABLE,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,DA,2020|2021|2022|2023|2024,no,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Myton,Deer,Antlerless,Any Legal Weapon,General Season,,,,,,50,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,50,PROMOTE_CANDIDATE_AFTER_REVIEW,
DA1051,CURRENT_PLANNER_EXTRA_REVIEW,REVIEW,maybe,Fresh DWR current planner row not in 2025 BIBLE; unresolved source-family status.,LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,DA,,no,no,yes,no,,LIVE_ONLY,LIVE_ONLY,LIVE_DWR_TOTAL_ONLY,Beaver City,Deer,Antlerless,Archery,General-Season,,,10,,,,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HUNTTABLE,10,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DB0007,SPORTSMAN_CONTINUITY_LAYER_REVIEW,REVIEW,maybe,"Sportsman codes are known continuing active permit hunts, but this row was not in 2025 BIBLE extraction.",LIVE_2026_NOT_IN_2025_BIBLE,SPORTSMAN_CURRENT_PLANNER,DB,2020|2021|2022|2023|2024,no,no,yes,yes,OK,LIVE_AND_DATABASE,LIVE_NO_QUOTA_DATABASE_PRESERVED,LIVE_DWR_NO_QUOTA_PUBLISHED,Buck Deer - Statewide Permit,Deer,Buck,Any Legal Weapon,Statewide,,,,,,1,yes,yes,no,no,DEER_BUCK_DB_DIRECT,SOURCE_MATCHES_RECOMMENDED,1,MEDIUM_SINGLE_SOURCE,UTAHDRAWS,1,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck
DB0009,SEPARATE_CONSERVATION_LAYER,REVIEW,no,"Conservation permit family; use separate conservation layer, not core-count inflation.",LIVE_2026_NOT_IN_2025_BIBLE,CONSERVATION_CURRENT_PLANNER,DB,,no,no,yes,yes,OK,LIVE_AND_DATABASE,BOTH_BLANK,LIVE_DWR_NO_QUOTA_PUBLISHED,Antelope Island - Conservation/Expo,Deer,Buck,Any Legal Weapon,Premium Limited Entry,,,,,,,no,no,no,no,DEER_BUCK_DB_DIRECT,SOURCE_NO_PERMIT_VALUE,,NO_PERMIT_VALUE,NONE,,NO_CURRENT_PERMIT_VALUE_FOUND,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck
DB1036,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,no,Database row is not exposed by the fresh DWR live table; do not count as active core without source review.,DATABASE_NOT_IN_LIVE_TABLE,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,DB,2020|2021|2022|2023|2024,no,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Thousand Lakes,Deer,Buck,Muzzleloader,Limited Entry,,,,4,1,5,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,5,PROMOTE_CANDIDATE_AFTER_REVIEW,
DB1059,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,no,Database row is not exposed by the fresh DWR live table; do not count as active core without source review.,DATABASE_NOT_IN_LIVE_TABLE,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,DB,2020|2021|2022|2023|2024,no,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Beaver,Deer,Buck,Muzzleloader,Limited Entry,,,,7,1,8,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,8,PROMOTE_CANDIDATE_AFTER_REVIEW,
DB1082,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,no,Database row is not exposed by the fresh DWR live table; do not count as active core without source review.,DATABASE_NOT_IN_LIVE_TABLE,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,DB,2020|2021|2022|2023|2024,no,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Oquirrh-Stansbury,Deer,Buck,Muzzleloader,Limited Entry,,,,12,1,13,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,13,PROMOTE_CANDIDATE_AFTER_REVIEW,
DB1088,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,no,Database row is not exposed by the fresh DWR live table; do not count as active core without source review.,DATABASE_NOT_IN_LIVE_TABLE,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,DB,2020|2021|2022|2023|2024,no,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,"West Desert, Tintic",Deer,Buck,Muzzleloader,Limited Entry,,,,4,1,5,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,5,PROMOTE_CANDIDATE_AFTER_REVIEW,
DB1089,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,no,Database row is not exposed by the fresh DWR live table; do not count as active core without source review.,DATABASE_NOT_IN_LIVE_TABLE,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,DB,2020|2021|2022|2023|2024,no,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,"West Desert, West",Deer,Buck,Muzzleloader,Limited Entry,,,,4,1,5,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,5,PROMOTE_CANDIDATE_AFTER_REVIEW,
DB1094,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,no,Database row is not exposed by the fresh DWR live table; do not count as active core without source review.,DATABASE_NOT_IN_LIVE_TABLE,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,DB,2022|2023|2024,no,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Myton,Deer,Buck,Muzzleloader,Limited Entry,,,,20,,20,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,20,PROMOTE_CANDIDATE_AFTER_REVIEW,
DB1109,CONFIRMED_2026_NEW_OR_OMITTED_DIRECT_SOURCE,REVIEW,maybe,"Not in 2025 BIBLE, but direct 2026 source matches current reconciliation; review as new or BIBLE omission.",LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,DB,,no,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Thousand Lakes,Deer,Buck,Restricted Multiseason,Limited Entry,2,0,2,2,0,2,yes,yes,no,no,DEER_BUCK_DB_DIRECT,SOURCE_TOTAL_MATCHES_RECOMMENDED,2,HIGH_CONFIRMED_2PLUS,HANUMBER,2,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck
DB1121,CONFIRMED_2026_NEW_OR_OMITTED_DIRECT_SOURCE,REVIEW,maybe,"Not in 2025 BIBLE, but direct 2026 source matches current reconciliation; review as new or BIBLE omission.",LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,DB,,no,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Antelope Island,Deer,Buck,Any Legal Weapon,Management Buck Deer,2,0,2,2,0,2,yes,yes,no,no,DEER_BUCK_DB_DIRECT,SOURCE_TOTAL_MATCHES_RECOMMENDED,2,HIGH_CONFIRMED_2PLUS,HANUMBER,2,PROMOTE_CANDIDATE_AFTER_REVIEW,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck
DB1276,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,no,Database row is not exposed by the fresh DWR live table; do not count as active core without source review.,DATABASE_NOT_IN_LIVE_TABLE,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,DB,2020|2021|2022|2023|2024,no,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Plymouth Peak CWMU,Deer,Buck,Any Legal Weapon,CWMU,,,,,,1,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,1,PROMOTE_CANDIDATE_AFTER_REVIEW,
DB1320,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,maybe,Present in 2025 BIBLE but absent from fresh 2026 DWR table; needs drop/rename/crosswalk review.,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,DB,2020|2021|2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Deer Creek CWMU,Deer,Buck,Any Legal Weapon,CWMU,,,,1,0,1,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,1,PROMOTE_CANDIDATE_AFTER_REVIEW,
DB1324,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,maybe,Present in 2025 BIBLE but absent from fresh 2026 DWR table; needs drop/rename/crosswalk review.,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,DB,2020|2021|2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Royal Ivory Outfitters CWMU,Deer,Buck,Any Legal Weapon,CWMU,,,,1,0,1,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,1,PROMOTE_CANDIDATE_AFTER_REVIEW,
DB1338,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,no,Database row is not exposed by the fresh DWR live table; do not count as active core without source review.,DATABASE_NOT_IN_LIVE_TABLE,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,DB,2022|2023|2024,no,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Sweetwater CWMU,Deer,Buck,Any Legal Weapon,CWMU,,,,,,1,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,1,PROMOTE_CANDIDATE_AFTER_REVIEW,
DB1343,POSSIBLE_DROPPED_OR_NOT_EXPOSED_FROM_2025,REVIEW,maybe,Present in 2025 BIBLE but absent from fresh 2026 DWR table; needs drop/rename/crosswalk review.,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,DB,2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Red Iron CWMU,Deer,Buck,Any Legal Weapon,CWMU,,,,1,0,1,no,no,no,no,,,,MEDIUM_SINGLE_SOURCE,HANUMBER,1,PROMOTE_CANDIDATE_AFTER_REVIEW,
