path,status,purpose,served_live_yes_no,truth_source_yes_no,notes
engine/utah_draw_predictive/,ACTIVE_LOCAL,Rule-family predictive engine modules,no,no,"Classifier/routing and family rules support."
engine/utah_predictive_mixed/,ACTIVE_LOCAL,Mixed predictive engine modules,no,no,"Hybrid prior-year + quota + rollover + quality layer."
scripts/materialize_predictive_outputs.py,ACTIVE_LOCAL,Predictive materialization runner,no,no,"Invokes engine.utah_bonus_predictive.materialize."
scripts/build_runtime_draw_feed_v2.py,ACTIVE_LOCAL,Truth->runtime draw feed normalization builder,no,no,"Builds runtime draft v2 feed + validation artifacts."
scripts/build-public-data-contracts.js,ACTIVE_LOCAL,Builds hunt/outlook/outfitter public contract outputs,no,no,"Feeds processed_data/public_contracts."
scripts/sync_online_runtime_from_predictive.py,ACTIVE_LOCAL,Synchronizes predictive outputs into runtime surfaces,no,no,"Runtime alignment utility."
scripts/audit-active-data-feeds.js,ACTIVE_LOCAL,Comprehensive feed inventory + readiness audit,no,no,"Generated latest audit evidence consumed in this report."
scripts/deploy-pages-dist.js,ACTIVE_LOCAL,Deployment helper for pages-dist artifact,no,no,"Operational deploy helper."
public_contracts/ (Desktop external),REFERENCE,External staging folder outside repo,no,no,"Not repo-served until copied into repo data/ or processed_data/public_contracts."
pages-dist/public/hard-copy/,GENERATED,Built hard-copy static output,yes,no,"Generated output; source remains public/hard-copy."
data_model/runtime_drafts/draw_reality_engine_v2.csv,REFERENCE,Draft runtime candidate feed,no,no,"Fallback-only reference; not primary production source."
data_model/harvest_quality/draw_reality_engine_predictive_with_harvest_features.csv,REFERENCE,Hybrid reference feed candidate,no,no,"Fallback-only reference; not primary live runtime."
scripts/__pycache__/,OBSOLETE,Python bytecode cache,no,no,"Local execution artifact; should not drive production decisions."
engine/**/__pycache__/,OBSOLETE,Python bytecode cache,no,no,"Local execution artifact."
replace_AGENTS_command.sh,REVIEW,Local helper script/noise candidate,no,no,"Confirm ownership before deletion."
